Blinker; 3,1; 3o!

Block; 2,2; 2o$2o!

Beehive; 4,3; b2o$o2bo$b2o!

Loaf; 4,4; bo$obo$o2bo$b2o!

Boat; 3,3; 2o$obo$bo!

Tub; 3,3; bo$obo$bo!

Pool; 4,4; b2o$o2bo$o2bo$b2o!

Ship; 3,3; b2o$obo$2o!

Long Boat; 4,4; 2b2o$bobo$obo$bo!

Frog; 2
4,4; 2bo$o2bo$o2bo$bo!
4,2; 3o$b3o!

Ship-Tie; 6,6; 2o$obo$b2o$3b2o$3bobo$4b2o!

Beacon; 2
4,4; 2b2o$3bo$o$2o!
4,4; 2b2o$2b2o$2o$2o!

Barge; 4,4; bo$obo$bobo$2bo!

Meta Bi-loaf; 7,7; 4b2o$3bo2bo$3bobo$b2obo$o2bo$obo$bo!

Mango; 4,5; bo$obo$o2bo$bobo$2bo!

Glider; 2
3,3; 3o$o$bo!
3,3; obo$2o$bo!

Eater; 4,4; 2o$o$b3o$3bo!

Long Barge; 5,5; bo$obo$bobo$2bobo$3bo!

Aircraft Carrier; 3,4; b2o$2bo$o$2o!

Paperclip; 5,6; 2b2o$bo2bo$bob2o$2obo$o2bo$b2o!

Pulsar; 3
13,13; 2b3o3b3o$$o4bobo4bo$o4bobo4bo$o4bobo4bo$2b3o3b3o$$2b3o3b3o$o4bobo4bo$o4bobo4bo$o4bobo4bo$$2b3o3b3o!
15,15; 4bo5bo$4bo5bo$4b2o3b2o$$3o2b2ob2o2b3o$2bobobobobobo$4b2o3b2o$$4b2o3b2o$2bobobobobobo$3o2b2ob2o2b3o$$4b2o3b2o$4bo5bo$4bo5bo!
13,13; 2b2o5b2o$3b2o3b2o$o2bobobobo2bo$3ob2ob2ob3o$bobobobobobo$2b3o3b3o$$2b3o3b3o$bobobobobobo$3ob2ob2ob3o$o2bobobobo2bo$3b2o3b2o$2b2o5b2o!

Shillelagh; 5,3; 2o$o2b2o$b2obo!

Long Ship; 4,4; 2o$obo$bobo$2b2o!

Integral Sign; 5,5; 2o$obo$2bo$2bobo$3b2o!

Boat-Tie; 6,6; 4bo$3bobo$3b2o$b2o$obo$bo!

Snake; 4,2; ob2o$2obo!

Big S; 6,7; 3b2o$3bobo$5bo$b4o$o$obo$b2o!

Bi-Pool; 7,7; 4b2o$3bo2bo$3bo2bo$b2ob2o$o2bo$o2bo$b2o!

Para Boat With Tail; 5,5; 4bo$2b3o$bo$obo$2o!

Hat; 5,4; 2bo$bobo$bobo$2ob2o!

Ship-Tie-Boat; 6,6; bo$obo$b2o$3b2o$3bobo$4b2o!

Long Long Boat; 5,5; 3b2o$2bobo$bobo$obo$bo!

Tub With Tail; 5,5; 3bo$2bobo$3bo$3o$o!

Canoe; 5,5; 2o$obo$3bo$4bo$3b2o!

Table On Table; 4,5; o2bo$4o$$4o$o2bo!

Long Long Ship; 5,5; 2o$obo$bobo$2bobo$3b2o!

Cis R-Bee; 4,7; b2o$o2bo$b3o$$b3o$o2bo$b2o!

Moose Antlers; 5,9; 3b2o$2bobo$2bo$b2o$o$b2o$2bo$2bobo$3b2o!

Block on Table; 5,4; 2ob2o$2obo$3bo$3b2o!

Block On Dock; 6,6; 4b2o$2obobo$2obo$3bo$3bobo$4b2o!

Twinhat; 5,9; bo$b3o$4bo$b3o$o$b3o$4bo$b3o$bo!

Beehive On Dock; 7,6; bo3b2o$obobobo$obobo$bo2bo$4bobo$5b2o!

Fourteener; 5,7; b2o$bobo$3bo$3b2o$2obo$o2bo$b2o!

Scorpion; 7,6; 3bo$b3o$o3b2o$obobobo$b2obobo$5bo!

Sock; 5,4; b2o$o2bo$bobo$2ob2o!

Beehive With Tail; 6,5; b2o$o2bo$b2obo$4bo$4b2o!

LWSS; 2
5,4; b2o$4o$2ob2o$2b2o!
5,4; o2bo$4bo$o3bo$b4o!

Loaf With Tail; 6,6; b2o$o2bo$bobo$2bo$3b3o$5bo!

Meta Boat With Tail; 5,5; 2o$bo$bob2o$2bobo$3bo!

Trans R-Bee; 7,5; bo$obob2o$obobobo$b2obobo$5bo!

Block And D; 6,4; b2o$obo$obob2o$b2ob2o!

Cis Boat And Dock; 6,7; 2o2b2o$o4bo$b4o$$b2o$bobo$2bo!

(D) Trans Bookends; 5,7; b2o$bo2bo$2b3o$$3o$o2bo$2b2o!

Long Snake; 5,3; 3b2o$obobo$2o!

Cis Bookends; 4,7; 2b2o$o2bo$3o$$3o$o2bo$2b2o!

Dock On Dock; 7,6; 2o3b2o$obobobo$2bobo$2bobo$obobobo$2o3b2o!

Clock; 4,4; 2bo$obo$bobo$bo!

(U) Block On Table-Dock; 5,6; 3b2o$3b2o$$b4o$o3bo$2o!

Elevener; 6,6; 4b2o$3bobo$3bo$b3o$o$2o!

Pentadecathlon; 15
3,12; 3o$bo$bo$3o$$3o$3o$$3o$bo$bo$3o!
3,14; bo$3o$$$3o$$obo$obo$$3o$$$3o$bo!
3,14; 3o$3o$bo$bo$bo$obo$$$obo$bo$bo$bo$3o$3o!
3,16; bo$obo$$$3o$3o$bo$$$bo$3o$3o$$$obo$bo!
3,16; bo$bo$$bo$obo$$3o$$$3o$$obo$bo$$bo$bo!
3,10; bo$bo$obo$bo$bo$bo$bo$obo$bo$bo!
3,8; 3o$obo$3o$3o$3o$3o$obo$3o!
5,10; 2bo$bobo$o3bo$o3bo$o3bo$o3bo$o3bo$o3bo$bobo$2bo!
7,10; 3bo$2b3o$b2ob2o$3ob3o$3ob3o$3ob3o$3ob3o$b2ob2o$2b3o$3bo!
9,10; 3b3o$2bo3bo$bo5bo$$o7bo$o7bo$$bo5bo$2bo3bo$3b3o!
5,12; 2bo$b3o$5o$$$$$$$5o$b3o$2bo!
5,12; b3o$o3bo$o3bo$b3o$$$$$b3o$o3bo$o3bo$b3o!
5,14; 2bo$b3o$obobo$obobo$b3o$2bo$$$2bo$b3o$obobo$obobo$b3o$2bo!
5,14; b3o$$o3bo$o3bo$$b3o$$$b3o$$o3bo$o3bo$$b3o!
3,16; bo$bo$3o$$$3o$bo$bo$bo$bo$3o$$$3o$bo$bo!

Trans Bookend And R-Bee; 7,5; bo$obob2o$obobo$b2obobo$5b2o!

Dead Spark Coil; 7,5; 2o3b2o$obobobo$2bobo$obobobo$2o3b2o!

Bent Canoe; 5,6; 3b2o$2bobo$bo$o$obo$b2o!

Long Long Snake; 6,4; 2o$obo$3bobo$4b2o!

Cis Aircraft Carrier -S- Snake; 7,3; 2o$o2b2obo$2b2ob2o!

